Element,delete flag,Entity Name,Original Alternative Entity Name  (Including entity names are duplicates),col-C,col-D,Actor /Role /Service,Hierarchy Conceptual/ Logical/ Physical,Role (from role tab),Type,NIST (Legacy) Domain ,Manufacturer-CIM (IEC #) Type of Zone,Description,"Actor/ type
or
Role",Related Role,Business function/ service,AMI Systems,Electric Transportaion,Distribution Grid Mgmt,WASA,Demand Response,Electric Storage,Conceptual Model,Reference Diagram,NAESB,CSWG NISTIR 7628,CSWG Actors,IEEE P2030 Draft 3.0  ,EIS,EU Commission,EU WGSP Vers 0.5,SGAC Conceptual Arch,IEC TC57-WG19 DER Actor/Roles,EU SC-CG WP1 ,ENTSO-E role model,AhG Charging,IEC61968 IRM,IEC SG3,GUC,DKE Repository,SMCG,EG3,EU Source:unknown,New,Note,US/EU Input,There are several entities that more concisely describe this concept - this should show up as a column B item for traceability
268,,Transmission Operations and Control Center,NR: ISO/RTO Operation,,,Role,Logical,,Organization,Operations,Operations,"Wide-area power system control center providing high level load management and security analysis for the transmission grid, typically using an EMS with generation applications and network analysis applications. ",,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,US,
269,,Transmission Protection Devices,CM: Transmission.Protect; IE: Transmission Protection & Control Devices,,,Actor,Logical,,Device,Transmission,Field Monitoring,"Actors that react rapidly to faults and other events in the system which might cause power outages, brownouts, or the destruction of equipment. Performed to maintain high levels of reliability and power quality. Examples include Flexible AC Transmission Systems (FACTS) devices, switches, capacitors, fuses.",,,,,,,,,,X,,,,,X,,,,,,,,,,,,,,,,,,US,
270,,Transmission Recording,,,,Service,Logical,,Application,Transmission,Operations,"Performed by A service actors that permit other domains to review what has happened on the grid for financial, engineering, operational, and forecasting purposes. ",,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,US,
271,,Transmission Remote Terminal Unit,NR: Transmission RTU,RTU,RTU,Actor,Logical,,Device,Transmission,Field Monitoring,RTUs pass status and measurement information from a substation or feeder equipment to a Supervisory Control and Data Acquisition (SCADA) system and transmit control commands from the SCADA system to the field equipment.,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,US,
272,,Transmission Sensor,IE: Sensors and Measurement Devices,,,Actor,Logical,,Device,Transmission,Field Monitoring/Control,"A Transmission System actor device (outside the substation) that measures a physical quantity and converts it into a signal which can be read by an observer or by an instrument. Examples include line-sag monitors, insulation detection monitoring.",,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,US,
273,,Transmission Stabilize and Optimize,,,,Service,Logical,,Application,Transmission,Operations,"A service Performed by actors that ensure the network is operating with the appropriate tolerances across the system. They  gather information for control decisions that ensure reliable, proper operations (stability) and more efficient operations (optimization). Measurement and control form a feedback loop that allows grid operators to stabilize the flow of energy across the electric network or safely increase the load on a transmission path. ",,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,US,
274,,Transmission Substation,CM: Substation; N: Switch-yard,,,Actor,Logical,,Facility,Transmission,Process,"A facility who's function is to step-down (or up-voltage) from transmission (68kV or up) for distribution to tributary circuits. Contains not only transformers, but usually other devices to maintain power quality and reliablity, such as transformers, bus-work, capacitor banks, Flexible AC Transmission Systems (FACTS) devices, Ground fault limiters, fuses, reactors.",,,,,,,,,,X,,,,,X,,,,,,,,,,,,,,,,,,US,
275,,Transmission Substation Network,,,,Service,Logical,,Facility,Transmission,Communications,"These networks interconnect devices within a substation for backhauled WAN connection to Grid Operations . A typical example includes a local Ethernet LAN containing IEDs, RTUs, PMUs, and other field devices.",,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,US,
276,yes,Transmission Supervisory Control and Data Acquisition,RM: 1) SCADA; 2) Transmission SCADA/EMS,T-SCADA,T-SCADA,Service,Logical,,Application,Operations,,SCADA is a realtime monitoring and control application receiving information from Remote Terminal Units (RTU).  The primary consumer of SCADA's information is a Transmission organization's Energy Management System (EMS) applications.,,,,,,X,X,,,,, ,X,,,,,,,,,,,,,,,,,,,,US,
277,,Transmission System Operator ,,TSO,,Role,Conceptual,,Role,Transmission,Operations,"According to the Article 2.4 of the Electricity Directive 2009/72/EC (Directive): ""a natural or legal person responsible for operating, ensuring the maintenance of and, if necessary, developing the transmission system in a given area and, where applicable, its interconnections with other systems, and for ensuring the long-term ability of the system to meet reasonable demands for the transmission of electricity"". Moreover, the TSO is responsible for connection of all grid users at the transmission level and connection of the DSOs within the TSO control area.",,,,,,,,,,,,,,, ,,,X,,,,,,,,,,,,,,,US,
278,yes,Utility Apps,Too generic for any usefullness,,,Service,Logical,,Application,Operations,Enterprise,Software applications and models used to assess distribution operations and help manage these devices through pricing and other signals. ,,,,,X,,,,,,, ,,,,,,,,,,,,,,,,,,,,,US,
279,,Utility Energy Provider,XX: Utility Retail Energy Provider,,,Actor,Logical,,Application,Service Provider,Enterprise,Utility that sells energy to end-users.,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,US,
280,yes,Utility Managed Billing ,Redundant defintion coverd under Billing described earlier,,,Service,Logical,,Application,Service Provider,,"Utility function or group that manages customer billing information, sends billing statements and processes received payments. ",,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,US,
281,,Water Meter,NR: Water/Gas Metering,,,Actor,Logical,,Device,Cross Cutting,Field Monitoring,"A device that is either used for revenue grade at the pPoint of sSale measuring or facility grade device used for the transfer of water, product and measuring usage and possibly control from one domain/system to another",,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,US,
282,,Wholesale Hydro,CM: Hydro,,,Actor,Logical,,Device,Generation,Process,"River or lake driven power generation resource. Generation used solely for resale, is a scheduled resource",,,,,,,,,,X,,,,,X,,,,,,,,,,,,,,,,,,US,
283,,Wholesale Market,,,,Service,Logical,,Organization,Market,Enterprise,"Market for energy products, including generation, distributed generation, electric storage, electricity transmission/distributionportation, and demand response",,,,,,,X,,,,, ,,,,,,,,,,,,,,,,,,,,,US,
284,,Wholesaling,,,,Service,Conceptual,,Application,Market,Enterprise,"Wholesale sellers are any power generation company, power marketer, municipally owned utility, electric cooperative, river authority, or other entity that sells power at wholesale price vs retail rates allowed for small Distributed Generation and Stored Energy assets (retail customer's Photvoltaic(PV)  arrays,  Plug-in Electric Vehicles (PEV), micro-hydro, etc). Determination between wholesale and retail is determined by each State's regulators.",,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,US,
285,,Wide Area Measurement and Control System,NR: Wide Area Measurement System,,,Service,Logical,,Application,Operations,Operations,Applicatrion that monitors all phase measurements and substation equipment over a large geographical base for visual modeling and other techniques to determine actions that need to be perform by transmission actuators.,,,,,,,X,,,,, ,X,,,,,,,,,,,,,,,,,,,,US,
286,,Wind Generation,CM: Wind,,,Role,Logical,,Device,Generation,Process,Windmill facility (typically a wind farm) which generates power via direct attached generators or by pumping/compressing a storage facility for power generation on scheduled intervals. Facitlites are connected to the Trnsmission Grid. Power produced by these facilities is sold on the wholesale market. Typically not used for base-load due to wind variablity.,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,US,
287,,Work Management System,,WMS,WMS,Service,Logical,,Application,Operations,Operations,An application that provideswork crew project details and schedules to construct and maintain the power system infrastructure. Interfaces to or is usually is part of a bundled Distribution Management System (DMS) or Outage Management (OMS) offering.,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,US,
288,,Workforce Mobile Network,,,,Service,Logical,,Facility,Distribution,Enterprise,"Workforce Mobile Networks are used to dispatch maintenance, outgage-situation and routine operations. This may include a localized wireless network for advanced field devices ",,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,US,
289,yes,Workforce Tool,,,,Service,Logical,,Application,Distribution,,"Remote field crew applications used to , connectivity transfer information to Operations. Includes astatus of outages, work in orogress status, location logistics, time scheduling.",,,,X,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,US,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US,
